id,amenity,barrier,check_date,check_date:recycling,name,operator,recycling:batteries,recycling:cans,recycling:cartons,recycling:clothes,recycling:glass,recycling:glass_bottles,recycling:green_waste,recycling:paper,recycling:paper_packaging,recycling:plastic,recycling:plastic_bottles,recycling:plastic_packaging,recycling:scrap_metal,recycling:small_appliances,recycling_type,waste,website,xcoord,ycoord
node/4273077545,waste_basket,,2022/09/08,,,,,,,,,,,,,,,,,,,,,10.8411701,45.3487341
node/4273077556,waste_basket,,2022/09/08,,,,,,,,,,,,,,,,,,,,,10.843557,45.3490243
node/4312727861,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.7899621,45.3262592
node/4697121553,recycling,,,2023/03/29,,Caritas,,,,yes,,,,,,,,,,,container,,,10.9158216,45.390299
node/5985533270,recycling,,,,,,,,,,yes,,,,,,,,,,container,,,10.9195498,45.3803813
node/7669091728,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.8641872,45.3406187
node/7669091734,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.8095722,45.3514219
node/7883465398,recycling,,,2022/09/23,,,,,,,no,yes,,,,,,,,,container,,,10.9157673,45.3885294
node/9152387753,waste_basket,,,,,,,,,,,,,,,,,,,,,trash,,10.9056942,45.3879181
node/9152387765,recycling,,,,,,,,,,no,yes,,,,,,,,,container,,,10.83755,45.3468163
